date,open,high,low,close,volume
2024-01-02,1900.0,1914.79,1894.37,1912.3,191656
2024-01-03,1912.3,1935.58,1910.91,1931.71,177774
2024-01-04,1931.71,1947.12,1924.64,1945.58,207888
2024-01-05,1945.58,1949.95,1929.97,1934.81,176756
2024-01-08,1934.81,1938.84,1912.4,1919.22,175865
2024-01-09,1919.22,1924.78,1917.17,1920.57,179811
2024-01-10,1920.57,1932.95,1917.52,1931.07,214498
2024-01-11,1931.07,1941.98,1925.1,1937.55,228504
2024-01-12,1937.55,1962.73,1935.85,1959.17,116107
2024-01-15,1959.17,1972.51,1952.62,1968.59,90306
2024-01-16,1968.59,1983.03,1964.86,1976.73,239144
2024-01-17,1976.73,1981.21,1965.51,1968.65,168327
2024-01-18,1968.65,1969.79,1953.8,1956.16,227593
2024-01-19,1956.16,1977.93,1955.0,1974.17,208508
2024-01-22,1974.17,1982.51,1967.61,1975.34,77564
2024-01-23,1975.34,1988.6,1968.05,1985.55,117730
2024-01-24,1985.55,1987.62,1965.09,1969.75,203928
2024-01-25,1969.75,1970.8,1959.32,1965.18,247277
2024-01-26,1965.18,1970.08,1944.01,1950.55,246058
2024-01-29,1950.55,1953.0,1939.75,1942.06,237671
2024-01-30,1942.06,1956.4,1937.69,1953.16,152465
2024-01-31,1953.16,1959.47,1932.48,1936.4,50797
2024-02-01,1936.4,1943.39,1928.22,1930.77,67480
2024-02-02,1930.77,1935.8,1928.46,1933.25,240836
2024-02-05,1933.25,1935.52,1920.45,1926.08,143677
2024-02-06,1926.08,1928.99,1918.57,1923.74,158091
2024-02-07,1923.74,1931.15,1915.33,1921.75,235263
2024-02-08,1921.75,1928.19,1914.83,1927.15,58299
2024-02-09,1927.15,1933.11,1921.05,1922.74,75436
2024-02-12,1922.74,1933.8,1915.19,1926.46,239678
2024-02-13,1926.46,1931.0,1919.9,1927.7,213173
2024-02-14,1927.7,1935.39,1922.61,1933.19,122225
2024-02-15,1933.19,1943.1,1931.98,1936.37,220396
2024-02-16,1936.37,1958.27,1930.06,1956.21,180890
2024-02-19,1956.21,1962.15,1946.3,1949.01,88221
2024-02-20,1949.01,1971.22,1942.04,1963.62,73487
2024-02-21,1963.62,1967.1,1953.76,1959.47,77453
2024-02-22,1959.47,1961.07,1944.92,1948.79,249219
2024-02-23,1948.79,1968.11,1947.67,1963.54,203338
2024-02-26,1963.54,1969.61,1953.86,1958.95,163405
2024-02-27,1958.95,1963.31,1949.07,1954.98,87797
2024-02-28,1954.98,1958.45,1932.21,1939.28,226853
2024-02-29,1939.28,1943.12,1914.08,1915.45,222313
2024-03-01,1915.45,1929.02,1910.3,1923.31,51537
2024-03-04,1923.31,1925.91,1908.67,1910.44,143531
2024-03-05,1910.44,1924.36,1903.76,1919.93,225118
2024-03-06,1919.93,1943.64,1917.84,1941.8,244061
2024-03-07,1941.8,1947.76,1936.54,1941.05,156703
2024-03-08,1941.05,1946.72,1922.86,1928.51,107070
2024-03-11,1928.51,1935.78,1926.51,1933.65,145940
2024-03-12,1933.65,1945.65,1927.11,1943.06,94185
2024-03-13,1943.06,1946.15,1938.33,1940.6,122186
2024-03-14,1940.6,1944.54,1936.92,1941.38,62932
2024-03-15,1941.38,1960.63,1940.3,1957.52,241382
2024-03-18,1957.52,1979.31,1954.66,1972.97,117818
2024-03-19,1972.97,1983.19,1967.43,1981.96,143961
2024-03-20,1981.96,1984.34,1965.94,1972.25,142015
2024-03-21,1972.25,1977.76,1966.46,1972.21,245252
2024-03-22,1972.21,1982.13,1967.76,1979.94,161500
2024-03-25,1979.94,1986.83,1973.42,1978.01,148683
2024-03-26,1978.01,1984.48,1969.37,1971.37,59403
2024-03-27,1971.37,1977.87,1956.78,1962.91,178664
2024-03-28,1962.91,1968.26,1953.32,1956.05,225852
2024-03-29,1956.05,1957.33,1944.13,1948.76,207914
2024-04-01,1948.76,1956.3,1941.06,1944.07,67098
2024-04-02,1944.07,1959.86,1938.37,1958.01,212374
2024-04-03,1958.01,1959.23,1947.54,1949.19,186907
2024-04-04,1949.19,1964.69,1945.62,1960.15,186429
2024-04-05,1960.15,1972.94,1958.75,1965.65,137032
2024-04-08,1965.65,1971.18,1963.18,1967.89,112364
2024-04-09,1967.89,1974.23,1955.69,1958.71,116047
2024-04-10,1958.71,1962.96,1948.61,1953.93,195719
2024-04-11,1953.93,1979.24,1952.12,1977.65,63491
2024-04-12,1977.65,1984.84,1970.38,1979.42,100078
2024-04-15,1979.42,1994.11,1975.17,1986.41,63230
2024-04-16,1986.41,2000.74,1979.57,1994.91,128726
2024-04-17,1994.91,2013.85,1987.7,2008.14,192396
2024-04-18,2008.14,2013.32,2002.31,2005.88,109332
2024-04-19,2005.88,2007.58,1997.58,1999.14,221772
2024-04-22,1999.14,2003.01,1995.89,1999.02,229455
2024-04-23,1999.02,2001.5,1994.88,1996.5,201551
2024-04-24,1996.5,2011.68,1988.97,2006.57,221563
2024-04-25,2006.57,2014.1,2000.36,2009.45,174265
2024-04-26,2009.45,2014.3,2002.98,2012.94,125469
2024-04-29,2012.94,2019.49,2006.63,2015.29,198890
2024-04-30,2015.29,2037.06,2012.81,2030.75,233703
2024-05-01,2030.75,2034.25,2017.68,2024.75,98812
2024-05-02,2024.75,2030.21,2013.53,2019.54,161034
2024-05-03,2019.54,2034.35,2014.64,2030.88,191774
2024-05-06,2030.88,2032.41,2022.22,2030.19,156300
2024-05-07,2030.19,2037.09,2022.82,2035.19,175194
